comparison,u_family,double_family,route,allocation,ratio,metric,u_mean_gap,double_mean_gap,required_u_gap,criterion_applicable,criterion_passed,criterion
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.3,accuracy,0.3256880733944954,0.32721712538226294,0.2617737003058104,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.3,nll,0.07703436359717575,0.22131790216180527,0.17705432172944424,True,False,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.3,ece,-0.10843470418337912,-0.08078724924692933,-0.06462979939754347,False,,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.0,accuracy,0.0,0.0,0.0,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.0,nll,0.0,0.0,0.0,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.0,ece,0.0,0.0,0.0,False,,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.001,accuracy,0.3237767584097859,0.3237767584097859,0.25902140672782875,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.001,nll,0.1493557983901158,0.1492474012373055,0.11939792098984442,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.001,ece,-0.10372753118756634,-0.10387944634116765,-0.08310355707293413,False,,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.005,accuracy,0.3237767584097859,0.3237767584097859,0.25902140672782875,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.005,nll,0.1493557983901158,0.1492558784030993,0.11940470272247945,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.005,ece,-0.10372753118756634,-0.10372526680771875,-0.08298021344617501,False,,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.01,accuracy,0.3237767584097859,0.3237767584097859,0.25902140672782875,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.01,nll,0.1493557983901158,0.14922549206455915,0.11938039365164732,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.01,ece,-0.10372753118756634,-0.10374278239312157,-0.08299422591449726,False,,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.02,accuracy,0.3237767584097859,0.3237767584097859,0.25902140672782875,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.02,nll,0.14935537550700914,0.1492267534227911,0.11938140273823289,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.02,ece,-0.10372712024361547,-0.10375298053506071,-0.08300238442804858,False,,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.05,accuracy,0.3237767584097859,0.3237767584097859,0.25902140672782875,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.05,nll,0.14933540193586173,0.1492822143599528,0.11942577148796224,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.05,ece,-0.10373858844136218,-0.10360351106011802,-0.08288280884809442,False,,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.1,accuracy,0.3237767584097859,0.3237767584097859,0.25902140672782875,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.1,nll,0.1493494186880756,0.14914713806788857,0.11931771045431086,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.1,ece,-0.10372225366824815,-0.10352685437668269,-0.08282148350134616,False,,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.2,accuracy,0.3237767584097859,0.3237767584097859,0.25902140672782875,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.2,nll,0.14933597706600066,0.14941065494164782,0.11952852395331826,True,True,u_gap>=0 and u_gap>=0.8*double_gap
positive_vs_double_near_zero,u_positive,double_near_zero,direct,global,0.2,ece,-0.10374855967254414,-0.10353084501190345,-0.08282467600952276,False,,u_gap>=0 and u_gap>=0.8*double_gap
