checkpoint,double_formula_seconds,microbatch_count,microbatch_size,peak_memory_bytes_for_checkpoint_m,raw_formula_seconds,repetition,seed,shared_gradient_seconds,total_sample_budget,u_formula_seconds
step-000000,0.0003352537751197815,4,1,1696646656,0.00016833562403917313,57,41291,0.19832357112318277,4,0.0002577332779765129
step-000000,0.00033788103610277176,4,1,1696646656,0.00016963202506303787,58,41292,0.1985989911481738,4,0.0002593407407402992
step-000000,0.00033686961978673935,4,1,1696646656,0.00016934052109718323,59,41293,0.19878012966364622,4,0.00025849509984254837
step-000000,0.0003375820815563202,4,1,1696646656,0.00017004739493131638,60,41294,0.19874942488968372,4,0.0002569444477558136
step-000000,0.00033659860491752625,4,1,1696646656,0.0001698862761259079,61,41295,0.1983344266191125,4,0.00025819428265094757
step-000000,0.00033863820135593414,4,1,1696646656,0.00017159897834062576,62,41296,0.1969860466197133,4,0.0002704346552491188
step-000000,0.0003369823098182678,4,1,1696646656,0.00016986671835184097,63,41297,0.19692391622811556,4,0.00025479961186647415
step-000000,0.0003390572965145111,4,1,1696646656,0.00017162784934043884,64,41298,0.19824074115604162,4,0.0002575516700744629
step-000000,0.0003374675288796425,4,1,1696646656,0.00017301272600889206,65,41299,0.19883100409060717,4,0.0002619456499814987
step-000000,0.00033770501613616943,4,1,1696646656,0.00016760081052780151,66,41300,0.19669527374207973,4,0.0002570580691099167
step-000000,0.0003376295790076256,4,1,1696646656,0.00016827881336212158,67,41301,0.1967559875920415,4,0.00025873444974422455
step-000000,0.0003387844190001488,4,1,1696646656,0.00017006229609251022,68,41302,0.19840918574482203,4,0.00025985948741436005
step-000000,0.00033594947308301926,4,1,1696646656,0.0001711323857307434,69,41303,0.19861425552517176,4,0.0002563679590821266
step-000000,0.0003382507711648941,4,1,1696646656,0.0001674974337220192,70,41304,0.19666050747036934,4,0.00026625581085681915
step-000000,0.00033789221197366714,4,1,1696646656,0.0001678885892033577,71,41305,0.19682196620851755,4,0.00025644898414611816
