checkpoint,double_formula_seconds,microbatch_count,microbatch_size,peak_memory_bytes_for_checkpoint_m,raw_formula_seconds,repetition,seed,shared_gradient_seconds,total_sample_budget,u_formula_seconds
step-000000,0.00033792201429605484,4,1,1809892864,0.0001743622124195099,129,41363,0.19968144968152046,4,0.0002568531781435013
step-000000,0.0003406098112463951,4,1,1809892864,0.00016936101019382477,130,41364,0.20109554193913937,4,0.0002598883584141731
step-000000,0.0003368295729160309,4,1,1809892864,0.00017261411994695663,131,41365,0.20128054730594158,4,0.00025920383632183075
step-000000,0.00033868104219436646,4,1,1809892864,0.00016997568309307098,132,41366,0.19982915371656418,4,0.00025840848684310913
step-000000,0.0003381287679076195,4,1,1809892864,0.00016844924539327621,133,41367,0.1959702018648386,4,0.0002586757764220238
step-000000,0.0003410419449210167,4,1,1809892864,0.00017117522656917572,134,41368,0.19687831960618496,4,0.00025858450680971146
step-000000,0.0003360053524374962,4,1,1809892864,0.00016986392438411713,135,41369,0.19813174195587635,4,0.0002579260617494583
step-000000,0.00033766869455575943,4,1,1809892864,0.00018038135021924973,136,41370,0.19948759023100138,4,0.00025819893926382065
step-000000,0.00033573340624570847,4,1,1809892864,0.00017197243869304657,137,41371,0.1982632614672184,4,0.000257822684943676
step-000000,0.0003349939361214638,4,1,1809892864,0.00016864575445652008,138,41372,0.19988986756652594,4,0.00025779008865356445
step-000000,0.0003420775756239891,4,1,1809892864,0.0001708436757326126,139,41373,0.19957979395985603,4,0.00025714095681905746
step-000000,0.0003360416740179062,4,1,1809892864,0.0001694057136774063,140,41374,0.19800086691975594,4,0.00025789346545934677
step-000000,0.00034410320222377777,4,1,1809892864,0.00016887113451957703,141,41375,0.19983305595815182,4,0.00025883782655000687
step-000000,0.00033714529126882553,4,1,1809892864,0.00017064623534679413,142,41376,0.1975059136748314,4,0.00025965645909309387
step-000000,0.00033511780202388763,4,1,1809892864,0.00016774889081716537,143,41377,0.1982412002980709,4,0.0002584895119071007
step-000000,0.00033843889832496643,4,1,1809892864,0.00017083529382944107,144,41378,0.1967036770656705,4,0.0002568839117884636
step-000000,0.00033945776522159576,4,1,1809892864,0.0001722145825624466,145,41379,0.19766771793365479,4,0.00025798194110393524
step-000000,0.00034070201218128204,4,1,1809892864,0.0001673465594649315,146,41380,0.19832684565335512,4,0.00026043225079774857
step-000000,0.000339302234351635,4,1,1809892864,0.0001698024570941925,147,41381,0.19991011824458838,4,0.00025874655693769455
step-000000,0.00033830665051937103,4,1,1809892864,0.0001695789396762848,148,41382,0.1995131280273199,4,0.00025639962404966354
step-000000,0.00033693574368953705,4,1,1809892864,0.00016943830996751785,149,41383,0.1996338339522481,4,0.0002587679773569107
step-000000,0.00033707544207572937,4,1,1809892864,0.00016881711781024933,150,41384,0.2012470830231905,4,0.0002597365528345108
