absolute_bias,checkpoint,dominance_fraction,estimator,formula_seconds,group_count,mean_estimate_mse,microbatch_count,microbatch_size,reference_sample_count,relative_l1_bias,repetition_mse,repetition_variance,repetitions,scope,spearman,topk_overlap
2.0597747026288907e-07,step-000016,0.9559532893347489,u_statistic,0.05185062065720558,9,2.1609843208951846e-13,16,1,4096,0.008369397053918882,,,200,module,1.0,1.0
1.0392804209339683e-12,step-000016,0.006856260967102784,double,0.06778214406222105,14067712,1.062478367275321e-20,16,1,4096,0.06600672065641472,1.4255525914766128e-18,1.4220379977928224e-18,200,parameter,0.5187112565006516,0.7059651457379021
2.327200614213804e-07,step-000016,0.9559764889066594,double,0.06778214406222105,9,2.921222731695609e-13,16,1,4096,0.009456017660387998,,,200,layer,0.8833333333333333,1.0
2.3272006142138454e-07,step-000016,0.9559764889066593,double,0.06778214406222105,9,2.9420729432080296e-13,16,1,4096,0.009456017660388165,,,200,module,1.0,1.0
2.731749185793179e-12,step-000016,0.006535894579148187,raw,0.03438371606171131,14067712,1.8057474276126333e-20,32,1,4096,0.17349870331242884,8.468927666822287e-19,8.33000293875479e-19,200,parameter,0.7716612264310914,0.6360888615923547
4.185806268066307e-06,step-000016,0.9146060715174961,raw,0.03438371606171131,9,7.166108898039502e-11,32,1,4096,0.1700801286835746,,,200,layer,0.7166666666666667,1.0
4.185806268066295e-06,step-000016,0.9146060715174966,raw,0.03438371606171131,9,7.439955558437651e-11,32,1,4096,0.17008012868357414,,,200,module,0.9833333333333333,1.0
7.116611286251495e-13,step-000016,0.007341345047706766,u_statistic,0.051870597526431084,14067712,6.121850028747529e-21,32,1,4096,0.045198982269842675,7.63977416197296e-19,7.616638855965276e-19,200,parameter,0.6106730190862062,0.8028465167063319
1.6502247065458374e-07,step-000016,0.9575590339395245,u_statistic,0.051870597526431084,9,2.102360747677507e-13,32,1,4096,0.006705289554066963,,,200,layer,1.0,1.0
1.6502247065458546e-07,step-000016,0.9575590339395245,u_statistic,0.051870597526431084,9,2.103689350631393e-13,32,1,4096,0.0067052895540670315,,,200,module,1.0,1.0
