seed,score,scope,group,spearman,sample_size,population_size,tail_definition
1234,u_signed,module_within,layer-0010/layernorm-input,0.25509544760723013,1536,1536,
1234,u_signed,module_within,layer-0010/layernorm-post-attention,0.2887139318896111,1536,1536,
1234,u_signed,module_within,layer-0010/mlp-input,0.23910306526265343,1000000,2362368,
1234,u_signed,module_within,layer-0010/mlp-output,0.06948375838815662,1000000,2360064,
1234,u_signed,module_within,layer-0011/attention-output,0.02924858257733564,590592,590592,
1234,u_signed,module_within,layer-0011/attention-qkv,0.5103635194842445,1000000,1771776,
1234,u_signed,module_within,layer-0011/layernorm-input,0.3021734842929773,1536,1536,
1234,u_signed,module_within,layer-0011/layernorm-post-attention,0.2762496549551879,1536,1536,
1234,u_signed,module_within,layer-0011/mlp-input,0.16338733320760074,1000000,2362368,
1234,u_signed,module_within,layer-0011/mlp-output,0.04919474373630788,1000000,2360064,
1234,u_signed,module_within,layernorm-final,-0.009393884746290734,1536,1536,
1337,u_positive,parameter_sample,all,0.8265617740477385,1000000,162322944,
1337,u_positive,parameter_top_tail_union,top-1-percent,-0.5929186684333935,1000000,2979313,union_of_pretrain_and_finetune_top_1_percent
1337,u_positive,layer_sum_rank,sum,0.907142857142857,15,15,
1337,u_positive,layer_within,embedding-input,0.27842616861828606,1000000,38633472,
1337,u_positive,layer_within,embedding-output,0.2582617591856229,1000000,38633472,
1337,u_positive,layer_within,layer-0000,0.2571957835543253,1000000,7087872,
1337,u_positive,layer_within,layer-0001,0.5492145028388573,1000000,7087872,
1337,u_positive,layer_within,layer-0002,0.48132298445805044,1000000,7087872,
1337,u_positive,layer_within,layer-0003,0.41644429071437816,1000000,7087872,
1337,u_positive,layer_within,layer-0004,0.5167112858596976,1000000,7087872,
1337,u_positive,layer_within,layer-0005,0.5381946208593832,1000000,7087872,
1337,u_positive,layer_within,layer-0006,0.5429476241144214,1000000,7087872,
1337,u_positive,layer_within,layer-0007,0.5847181299720153,1000000,7087872,
1337,u_positive,layer_within,layer-0008,0.5457755090991175,1000000,7087872,
1337,u_positive,layer_within,layer-0009,0.4438738702438836,1000000,7087872,
1337,u_positive,layer_within,layer-0010,0.42032918657843915,1000000,7087872,
1337,u_positive,layer_within,layer-0011,0.34889353811664253,1000000,7087872,
1337,u_positive,layer_within,layernorm-final,0.002657749057451484,1536,1536,
1337,u_positive,module_sum_rank,sum,0.8341109530583215,75,75,
1337,u_positive,module_within,embedding-input,0.27842616861828606,1000000,38633472,
1337,u_positive,module_within,embedding-output,0.2582617591856229,1000000,38633472,
1337,u_positive,module_within,layer-0000/attention-output,0.31581615139719077,590592,590592,
1337,u_positive,module_within,layer-0000/attention-qkv,0.2527957960573355,1000000,1771776,
1337,u_positive,module_within,layer-0000/layernorm-input,0.6817392119520873,1536,1536,
1337,u_positive,module_within,layer-0000/layernorm-post-attention,0.44196673423628663,1536,1536,
1337,u_positive,module_within,layer-0000/mlp-input,0.10964729461571665,1000000,2362368,
1337,u_positive,module_within,layer-0000/mlp-output,0.2861857381227244,1000000,2360064,
1337,u_positive,module_within,layer-0001/attention-output,0.1761911377142628,590592,590592,
1337,u_positive,module_within,layer-0001/attention-qkv,0.6431379620132627,1000000,1771776,
1337,u_positive,module_within,layer-0001/layernorm-input,0.24207870160895523,1536,1536,
1337,u_positive,module_within,layer-0001/layernorm-post-attention,0.5160943006809238,1536,1536,
1337,u_positive,module_within,layer-0001/mlp-input,0.5369680062761645,1000000,2362368,
1337,u_positive,module_within,layer-0001/mlp-output,0.4467590036645265,1000000,2360064,
1337,u_positive,module_within,layer-0002/attention-output,0.10636055411334346,590592,590592,
1337,u_positive,module_within,layer-0002/attention-qkv,0.5309807870957469,1000000,1771776,
1337,u_positive,module_within,layer-0002/layernorm-input,0.13839702048175406,1536,1536,
1337,u_positive,module_within,layer-0002/layernorm-post-attention,0.23535145548921219,1536,1536,
1337,u_positive,module_within,layer-0002/mlp-input,0.3985519385339633,1000000,2362368,
1337,u_positive,module_within,layer-0002/mlp-output,0.22232578452850377,1000000,2360064,
1337,u_positive,module_within,layer-0003/attention-output,0.06620764353702009,590592,590592,
1337,u_positive,module_within,layer-0003/attention-qkv,0.4484512846345217,1000000,1771776,
1337,u_positive,module_within,layer-0003/layernorm-input,-0.029488837634759534,1536,1536,
1337,u_positive,module_within,layer-0003/layernorm-post-attention,0.23441643040679294,1536,1536,
1337,u_positive,module_within,layer-0003/mlp-input,0.3340314928337493,1000000,2362368,
1337,u_positive,module_within,layer-0003/mlp-output,0.1345740370547344,1000000,2360064,
1337,u_positive,module_within,layer-0004/attention-output,0.055103567477486334,590592,590592,
1337,u_positive,module_within,layer-0004/attention-qkv,0.44080323702214724,1000000,1771776,
1337,u_positive,module_within,layer-0004/layernorm-input,0.07633620424745528,1536,1536,
1337,u_positive,module_within,layer-0004/layernorm-post-attention,0.26763766945908835,1536,1536,
1337,u_positive,module_within,layer-0004/mlp-input,0.31692341698532,1000000,2362368,
1337,u_positive,module_within,layer-0004/mlp-output,0.15963452353138646,1000000,2360064,
1337,u_positive,module_within,layer-0005/attention-output,0.05217336412003652,590592,590592,
1337,u_positive,module_within,layer-0005/attention-qkv,0.4451020849882474,1000000,1771776,
1337,u_positive,module_within,layer-0005/layernorm-input,0.019197369473719902,1536,1536,
1337,u_positive,module_within,layer-0005/layernorm-post-attention,0.2492204172750758,1536,1536,
1337,u_positive,module_within,layer-0005/mlp-input,0.3753536387955419,1000000,2362368,
1337,u_positive,module_within,layer-0005/mlp-output,0.14889484167204048,1000000,2360064,
1337,u_positive,module_within,layer-0006/attention-output,0.09093308426354078,590592,590592,
1337,u_positive,module_within,layer-0006/attention-qkv,0.46086264328211574,1000000,1771776,
1337,u_positive,module_within,layer-0006/layernorm-input,-0.010261182365918631,1536,1536,
1337,u_positive,module_within,layer-0006/layernorm-post-attention,0.23050151104461292,1536,1536,
