task,route,estimator,score_type,balance,fraction,metric,seed,comparison,left_mean,high_mean,gap,left_mask_n,high_mask_n,direction
sst2,direct,double,positive,global,0.02,accuracy,1337,random_minus_high,0.8067660550458717,0.4908256880733945,0.31594036697247724,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,accuracy,2027,low_minus_high,0.8119266055045872,0.4908256880733945,0.3211009174311927,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,accuracy,2027,random_minus_high,0.8193233944954128,0.4908256880733945,0.3284977064220183,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,ece,1234,low_minus_high,0.12285524468225428,0.009174317121505737,-0.11368092756074855,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,ece,1234,random_minus_high,0.10959582772097161,0.009174317121505737,-0.10042151059946587,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,ece,1337,low_minus_high,0.11345180940261468,0.009174317121505737,-0.10427749228110894,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,ece,1337,random_minus_high,0.11919144628620906,0.009174317121505737,-0.11001712916470333,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,ece,2027,low_minus_high,0.11284834804796695,0.009174317121505737,-0.10367403092646121,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,ece,2027,random_minus_high,0.10754322646397066,0.009174317121505737,-0.09836890934246492,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,nll,1234,low_minus_high,0.580791831836788,0.6931471824645996,0.11235535062781166,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,nll,1234,random_minus_high,0.5345888138705985,0.6931471824645996,0.15855836859400108,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,nll,1337,low_minus_high,0.5361367997226365,0.6931471824645996,0.1570103827419631,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,nll,1337,random_minus_high,0.5453182404604527,0.6931471824645996,0.14782894200414687,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,nll,2027,low_minus_high,0.5356588218395316,0.6931471824645996,0.157488360625068,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,nll,2027,random_minus_high,0.5156756331204275,0.6931471824645996,0.17747154934417209,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,accuracy,1234,low_minus_high,0.8130733944954128,0.4908256880733945,0.32224770642201833,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,accuracy,1234,random_minus_high,0.817947247706422,0.4908256880733945,0.3271215596330275,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,accuracy,1337,low_minus_high,0.8188073394495413,0.4908256880733945,0.3279816513761468,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.05,accuracy,1337,random_minus_high,0.8069954128440366,0.4908256880733945,0.31616972477064215,20,1,positive_means_high_pruning_is_more_harmful
