task,route,estimator,score_type,balance,mode,fraction,metric,training_seed_n,mask_row_n,seeds,value_n,value_mean,value_std,value_ci_low,value_ci_high
sst2,direct,magnitude,positive,global,high,0.1,ece,3,3,1234;1337;2027,3,0.09802072241687065,0.011049624613024346,0.08537983984697739,0.10584125369224451
sst2,direct,magnitude,positive,global,high,0.1,nll,3,3,1234;1337;2027,3,0.477456819026842,0.016385781223153213,0.45878514565459083,0.4894422380202407
sst2,direct,magnitude,positive,global,high,0.2,accuracy,3,3,1234;1337;2027,3,0.5359327217125381,0.06005423462294651,0.4919724770642202,0.6043577981651376
sst2,direct,magnitude,positive,global,high,0.2,ece,3,3,1234;1337;2027,3,0.19683632710387147,0.0713568513216319,0.11512425743843051,0.24686588273179755
sst2,direct,magnitude,positive,global,high,0.2,nll,3,3,1234;1337;2027,3,0.6593343537152725,0.026493005107265186,0.634672999382019,0.6873412077580023
sst2,direct,magnitude,positive,global,high,0.3,accuracy,3,3,1234;1337;2027,3,0.577217125382263,0.11785360999513006,0.5091743119266054,0.7133027522935779
sst2,direct,magnitude,positive,global,high,0.3,ece,3,3,1234;1337;2027,3,0.10117739348363859,0.08139881022557711,0.04888761043548584,0.19496177234848622
sst2,direct,magnitude,positive,global,high,0.3,nll,3,3,1234;1337;2027,3,0.6794432490972934,0.006145232469754594,0.6725093738748393,0.6842159098441448
sst2,direct,magnitude,positive,global,low,0.0,accuracy,3,3,1234;1337;2027,3,0.8146024464831804,0.006520918237473971,0.8073394495412844,0.819954128440367
sst2,direct,magnitude,positive,global,low,0.0,ece,3,3,1234;1337;2027,3,0.11290184830907207,0.007911690067749102,0.10554803269136448,0.1212729958458999
sst2,direct,magnitude,positive,global,low,0.0,nll,3,3,1234;1337;2027,3,0.5437913840744838,0.01670989282012893,0.5261339113936512,0.5593566448863493
sst2,direct,magnitude,positive,global,low,0.001,accuracy,3,3,1234;1337;2027,3,0.8146024464831804,0.006520918237473971,0.8073394495412844,0.819954128440367
sst2,direct,magnitude,positive,global,low,0.001,ece,3,3,1234;1337;2027,3,0.11289791630957625,0.007920847314645346,0.10552945292650806,0.12127460287156056
sst2,direct,magnitude,positive,global,low,0.001,nll,3,3,1234;1337;2027,3,0.5440802474588794,0.016722208444406767,0.5262704481362203,0.5594458391360186
sst2,direct,magnitude,positive,global,low,0.005,accuracy,3,3,1234;1337;2027,3,0.8146024464831804,0.006520918237473971,0.8073394495412844,0.819954128440367
sst2,direct,magnitude,positive,global,low,0.005,ece,3,3,1234;1337;2027,3,0.11293218630367473,0.00785456251424268,0.10566971639191292,0.1212683708209975
sst2,direct,magnitude,positive,global,low,0.005,nll,3,3,1234;1337;2027,3,0.543923248368848,0.01676839349122934,0.526264869360202,0.5596310466254523
sst2,direct,magnitude,positive,global,low,0.01,accuracy,3,3,1234;1337;2027,3,0.8146024464831804,0.006520918237473971,0.8073394495412844,0.819954128440367
sst2,direct,magnitude,positive,global,low,0.01,ece,3,3,1234;1337;2027,3,0.11255111873365743,0.008251418703053362,0.1049323850902748,0.12131549149545529
sst2,direct,magnitude,positive,global,low,0.01,nll,3,3,1234;1337;2027,3,0.5438600454354141,0.016636821466105147,0.5262989506398866,0.559385204807334
sst2,direct,magnitude,positive,global,low,0.02,accuracy,3,3,1234;1337;2027,3,0.8146024464831804,0.006520918237473971,0.8073394495412844,0.819954128440367
sst2,direct,magnitude,positive,global,low,0.02,ece,3,3,1234;1337;2027,3,0.11340346689700108,0.007813627920012415,0.10564932572541341,0.12127525302845199
sst2,direct,magnitude,positive,global,low,0.02,nll,3,3,1234;1337;2027,3,0.5442017468336161,0.01705455415196925,0.5261983412804954,0.5601147344899834
