task,route,seed,mask_seed,mask_id,estimator,score_type,balance,mode,fraction,metric,value
sst2,direct,1234,1234,0,raw,positive,global,high,0.02,nll,0.6931471824645996
sst2,direct,1234,1234,0,raw,positive,global,high,0.02,ece,0.009174317121505737
sst2,direct,1234,1234,0,raw,positive,global,high,0.05,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,raw,positive,global,high,0.05,nll,0.6931471824645996
sst2,direct,1234,1234,0,raw,positive,global,high,0.05,ece,0.009174317121505737
sst2,direct,1234,1234,0,raw,positive,global,high,0.1,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,raw,positive,global,high,0.1,nll,0.6931471824645996
sst2,direct,1234,1234,0,raw,positive,global,high,0.1,ece,0.009174317121505737
sst2,direct,1234,1234,0,raw,positive,global,high,0.2,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,raw,positive,global,high,0.2,nll,0.6931471824645996
sst2,direct,1234,1234,0,raw,positive,global,high,0.2,ece,0.009174317121505737
sst2,direct,1234,1234,0,raw,positive,global,high,0.3,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,raw,positive,global,high,0.3,nll,0.6931471824645996
